

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/26/2015 4:54:53 pm,DN,46464,45.4 MB,45939,44.86,5742,5.61,DASKAjA,77193099998,deutsche_telekom_ag,65------de,H7eKFbTw
08/26/2015 4:39:52 pm,DN,45312,44.3 MB,45541,44.47,5693,5.56,DASKAjA,77193099998,deutsche_telekom_ag,65------de,VmikzfYW
08/26/2015 4:24:51 pm,DN,44928,43.9 MB,46209,45.13,5776,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,HGv8mEos
08/26/2015 4:09:49 pm,DN,43648,42.6 MB,45959,44.88,5745,5.61,DASKAjA,77193099998,deutsche_telekom_ag,65------de,V9e6C3c7
08/26/2015 3:54:49 pm,DN,45184,44.1 MB,45743,44.67,5718,5.58,DASKAjA,77193099998,deutsche_telekom_ag,65------de,QGpT5xeM
08/26/2015 3:39:48 pm,DN,46336,45.3 MB,45867,44.79,5733,5.6,DASKAjA,77193099998,deutsche_telekom_ag,65------de,TWiPYI89
08/26/2015 3:24:46 pm,DN,44160,43.1 MB,46143,45.06,5768,5.63,DASKAjA,77193099998,deutsche_telekom_ag,65------de,8RSxyu0E
08/26/2015 3:09:45 pm,DN,43520,42.5 MB,46234,45.15,5779,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,CEiq09Qw
08/26/2015 2:54:42 pm,DN,44800,43.8 MB,46269,45.18,5784,5.65,DASKAjA,77193099998,deutsche_telekom_ag,65------de,0fAdXanz
08/26/2015 2:39:37 pm,DN,44544,43.5 MB,45791,44.72,5724,5.59,DASKAjA,77193099998,deutsche_telekom_ag,65------de,2PjsBTcr
08/26/2015 2:24:36 pm,DN,40192,39.3 MB,43185,42.17,5398,5.27,DASKAjA,77193099998,deutsche_telekom_ag,65------de,Hn7UYpbI
08/26/2015 2:09:35 pm,DN,42880,41.9 MB,45413,44.35,5677,5.54,DASKAjA,77193099998,deutsche_telekom_ag,65------de,jD0bLus4
08/26/2015 1:54:34 pm,DN,45824,44.8 MB,46226,45.14,5778,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,aheWQP8i
08/26/2015 1:39:29 pm,DN,44032,43 MB,46215,45.13,5777,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,qnFxH18S
08/26/2015 1:24:28 pm,DN,45312,44.3 MB,46336,45.25,5792,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,1HsV2fwb
08/26/2015 1:09:27 pm,DN,44544,43.5 MB,45837,44.76,5730,5.6,DASKAjA,77193099998,deutsche_telekom_ag,65------de,FKldOIqQ
08/26/2015 12:54:25 pm,DN,44544,43.5 MB,46220,45.14,5778,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,5gfOAnXo
08/26/2015 12:39:24 pm,DN,43904,42.9 MB,46028,44.95,5754,5.62,DASKAjA,77193099998,deutsche_telekom_ag,65------de,3UhWVwc0
08/26/2015 12:24:23 pm,DN,45056,44 MB,46253,45.17,5782,5.65,DASKAjA,77193099998,deutsche_telekom_ag,65------de,volYghmn
08/26/2015 12:09:22 pm,DN,44416,43.4 MB,46000,44.92,5750,5.62,DASKAjA,77193099998,deutsche_telekom_ag,65------de,3MkBCl9U
08/26/2015 11:54:21 am,DN,44928,43.9 MB,46577,45.49,5822,5.69,DASKAjA,77193099998,deutsche_telekom_ag,65------de,EdO4Qxu5
08/26/2015 11:39:21 am,DN,47104,46 MB,46348,45.26,5794,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,SyaLmoHZ
